                Mon Oct 12 15:13:35 2009
ACCELERATION PROFILE          4editing1n
Lines:    1   HAPs:  29     LeadIn:    0
Pixel Frequency                       30
     1
   100
     3
    10
    17
    23
    28
    30
    30
    30
    35
    40
    40
    40
    45
    50
    50
    50
    55
    65
    75
    85
    91
    93
    95
    97
    99
   105
   115
   125
   135
   142
   147
   155
   160
   160
   165
   175
   180
   185
   195
   205
   215
   225
   235
   245
   255
   265
   275
   285
   291
   293
   648
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
  1002
   600
   610
   620
   630
   640
   650
   660
   670
   680
   690
   700
   710
   720
   730
   740
   750
   760
   770
   780
   790
   800
   800
   800
   800
   800
   800
   800
   800
   800
